Abbreviation,Full Form
J Huazhong Univ Sci Technolog Med Sci,Journal of Huazhong University of Science and Technology. Medical Sciences
J Hum Ergol Tokyo,Journal of Human Ergology
J Hum Evol,Journal of Human Evolution
J Hum Genet,Journal of Human Genetics
J Hum Hypertens,Journal of Human Hypertension
J Hum Lact,Journal of Human Lactation
J Hum Nutr Diet,Journal of Human Nutrition and Dietetics
J Hum Nutr,Journal of Human Nutrition
J Hum Reprod Sci,Journal of Human Reproductive Sciences
J Hum Resour,Journal of Human Resources
J Human Stress,Journal of Human Stress
J Hum Virol,Journal of Human Virology
J Hyg Lond,Journal of Hygiene
J Hyg Epidemiol Microbiol Immunol,"Journal of Hygiene, Epidemiology, Microbiology and Immunology"
J Hypertens,Journal of Hypertension
J Hypertens Suppl,Journal of Hypertension. Supplement
J Image Guid Surg,Journal of Image Guided Surgery
J Immigr Minor Health,Journal of Immigrant and Minority Health
J Immunoassay Immunochem,Journal of Immunoassay and Immunochemistry
J Immunoassay,Journal of Immunoassay
J Immunogenet,Journal of Immunogenetics
J Immunol Methods,Journal of Immunological Methods
J Immunol,Journal of Immunology
J Immunopharmacol,Journal of Immunopharmacology
J Immunother Emphasis Tumor Immunol,Journal of Immunotherapy with Emphasis on Tumor Immunology
J Immunother,Journal of Immunotherapy
J Immunotoxicol,Journal of Immunotoxicology
J In Vitro Fert Embryo Transf,Journal of In Vitro Fertilization and Embryo Transfer
J Individ Psychol,Journal of Individual Psychology
J Ind Microbiol Biotechnol,Journal of Industrial Microbiology and Biotechnology
J Ind Microbiol,Journal of Industrial Microbiology
J Infect Public Health,Journal of Infection and Public Health
J Infect,Journal of Infection
J Infect Dis,Journal of Infectious Diseases
J Inflamm,Journal of Inflammation
J Inf Image Manage,Journal of Information and Image Management
J Infus Chemother,Journal of Infusional Chemotherapy
J Inherit Metab Dis,Journal of Inherited Metabolic Disease
J Innate Immun,Journal of Innate Immunity
J Inorg Biochem,Journal of Inorganic Biochemistry
J Insect Physiol,Journal of Insect Physiology
J Insect Sci,Journal of Insect Science
J Insur Med,Journal of Insurance Medicine
J Integr Neurosci,Journal of Integrative Neuroscience
J Intellect Disabil,Journal of Intellectual Disabilities
J Intellect Disabil Res,Journal of Intellectual Disability Research
J Intensive Care Med,Journal of Intensive Care Medicine
J Interferon Cytokine Res,Journal of Interferon and Cytokine Research
J Interferon Res,Journal of Interferon Research
J Intern Med,Journal of Internal Medicine
J Intern Med Suppl,Journal of Internal Medicine. Supplement
J Int Med Res,Journal of International Medical Research
J Int Res Commun,Journal of International Research Communications
J Interpers Violence,Journal of Interpersonal Violence
J Interprof Care,Journal of Interprofessional Care
J Interv Card Electrophysiol,Journal of Interventional Cardiac Electrophysiology
J Interv Cardiol,Journal of Interventional Cardiology
J Intervent Cardiol,Journal of Interventional Cardiology
J Intraven Nurs,Journal of Intravenous Nursing
J Invasive Cardiol,Journal of Invasive Cardiology
J Invertebr Pathol,Journal of Invertebrate Pathology
J Investig Allergol Clin Immunol,Journal of Investigational Allergology and Clinical Immunology
J Invest Dermatol,Journal of Investigative Dermatology
J Investig Dermatol Symp Proc,Journal of Investigative Dermatology. Symposium Proceedings
J Investig Med,Journal of Investigative Medicine
J Invest Surg,Journal of Investigative Surgery
J Knee Surg,Journal of Knee Surgery
J Korean Med Sci,Journal of Korean Medical Science
J Lab Clin Med,Journal of Laboratory and Clinical Medicine
J Laparoendosc Adv Surg Tech A,Journal of Laparoendoscopic and Advanced Surgical Techniques. Part A
J Laparoendosc Surg,Journal of Laparoendoscopic Surgery
J Laryngol Otol,Journal of Laryngology and Otology
J Laryngol Otol Suppl,Journal of Laryngology and Otology. Supplement
J Laser Appl,Journal of Laser Applications
J Law Ethics Dent,Journal of Law and Ethics in Dentistry
J Law Health,Journal of Law and Health
J Law Med,Journal of Law and Medicine
J Law Med Ethics,"Journal of Law, Medicine and Ethics"
J Learn Disabil,Journal of Learning Disabilities
J Leg Med,Journal of Legal Medicine
J Leukoc Biol,Journal of Leukocyte Biology
J Leukoc Biol Suppl,Journal of Leukocyte Biology. Supplement
J LGBT Health Res,Journal of LGBT Health Research
J Lipid Mediat Cell Signal,Journal of Lipid Mediators and Cell Signalling
J Lipid Mediat,Journal of Lipid Mediators
J Lipid Res,Journal of Lipid Research
J Liposome Res,Journal of Liposome Research
J Lithotr Stone Dis,Journal of Lithotripsy and Stone Disease
J Long Term Care Adm,Journal of Long Term Care Administration
J Long Term Home Health Care,Journal of Long Term Home Health Care
J Long Term Eff Med Implants,Journal of Long-Term Effects of Medical Implants
J Low Genit Tract Dis,Journal of Lower Genital Tract Disease
J Magn Reson Imaging,Journal of Magnetic Resonance Imaging
J Magn Reson,Journal of Magnetic Resonance
J Magn Reson A,Journal of Magnetic Resonance. Series A
J Magn Reson B,Journal of Magnetic Resonance. Series B
J Mammal,Journal of Mammalogy
J Mammary Gland Biol Neoplasia,Journal of Mammary Gland Biology and Neoplasia
J Manag Med,Journal of Management in Medicine
J Manipulative Physiol Ther,Journal of Manipulative and Physiological Therapeutics
J Marital Fam Ther,Journal of Marital and Family Therapy
J Mark Ment Health,Journal of Marketing for Mental Health
J Mark Prof,Journal of Marketing for Professions
J Marmara Univ Dent Fac,Journal of Marmara University Dental Faculty
J Mass Spectrom,Journal of Mass Spectrometry
J Mater Sci Mater Med,Journal of Materials Science. Materials in Medicine
J Matern Fetal Neonatal Med,Journal of Maternal-Fetal and Neonatal Medicine
J Matern Fetal Med,Journal of Maternal-Fetal Medicine
J Math Biol,Journal of Mathematical Biology
J Math Psychol,Journal of Mathematical Psychology
J Maxillofac Orthop,Journal of Maxillofacial Orthopedics
J Maxillofac Surg,Journal of Maxillofacial Surgery
J Mechanochem Cell Motil,Journal of Mechanochemistry and Cell Motility
J Med Dent Sci,Journal of Medical and Dental Sciences
J Med Vet Mycol,Journal of Medical and Veterinary Mycology
J Med Case Reports,Journal of Medical Case Reports
J Med Educ,Journal of Medical Education
J Med Eng Technol,Journal of Medical Engineering and Technology
J Med Entomol,Journal of Medical Entomology
J Med Entomol Suppl,Journal of Medical Entomology. Supplement
J Med Ethics,Journal of Medical Ethics
J Med Genet,Journal of Medical Genetics
J Med Humanit Bioeth,Journal of Medical Humanities and Bioethics
J Med Humanit,Journal of Medical Humanities
J Med Imaging Radiat Oncol,Journal of Medical Imaging and Radiation Oncology
J Med Internet Res,Journal of Medical Internet Research
J Med Invest,Journal of Medical Investigation
J Med Lab Technol,Journal of Medical Laboratory Technology
J Med Microbiol,Journal of Medical Microbiology
J Med Pract Manage,Journal of Medical Practice Management
J Med Primatol,Journal of Medical Primatology
J Med Screen,Journal of Medical Screening
J Med Syst,Journal of Medical Systems
J Med Toxicol,Journal of Medical Toxicology
J Med Virol,Journal of Medical Virology
J Med Chem,Journal of Medicinal Chemistry
J Med Food,Journal of Medicinal Food
J Med Life,Journal of Medicine and Life
J Med Philos,Journal of Medicine and Philosophy
J Med,Journal of Medicine
J Membr Biol,Journal of Membrane Biology
J Ment Defic Res,Journal of Mental Deficiency Research
J Ment Health Adm,Journal of Mental Health Administration
J Ment Health Policy Econ,Journal of Mental Health Policy and Economics
J Ment Health,Journal of Mental Health
J Mich Dent Assoc,Journal of Michigan Dental Association
J Microbiol Methods,Journal of Microbiological Methods
J Microbiol Immunol Infect,"Journal of Microbiology, Immunology, and Infection"
J Microencapsul,Journal of Microencapsulation
J Microgr,Journal of Micrographics
J Microsc,Journal of Microscopy
J Microsurg,Journal of Microsurgery
J Microw Power Electromagn Energy,Journal of Microwave Power and Electromagnetic Energy
J Microw Power,Journal of Microwave Power
J Midwifery Womens Health,Journal of Midwifery and Women's Health
J Minim Invasive Gynecol,Journal of Minimally Invasive Gynecology
J Mol Appl Genet,Journal of Molecular and Applied Genetics
J Mol Cell Cardiol,Journal of Molecular and Cellular Cardiology
J Mol Cell Immunol,Journal of Molecular and Cellular Immunology
J Mol Cell Pathol,Journal of Molecular and Cellular Pathology
J Mol Biol,Journal of Molecular Biology
J Mol Cell Biol,Journal of Molecular Cell Biology
J Mol Diagn,Journal of Molecular Diagnostics
J Mol Endocrinol,Journal of Molecular Endocrinology
J Mol Evol,Journal of Molecular Evolution
J Mol Graph Model,Journal of Molecular Graphics and Modelling
J Mol Graph,Journal of Molecular Graphics
J Mol Histol,Journal of Molecular Histology
J Mol Med,Journal of Molecular Medicine
J Mol Microbiol Biotechnol,Journal of Molecular Microbiology and Biotechnology
J Mol Neurosci,Journal of Molecular Neuroscience
J Mol Recognit,Journal of Molecular Recognition
J Mol Signal,Journal of Molecular Signaling
J Mol Spectrosc,Journal of Molecular Spectroscopy
J Morphol,Journal of Morphology
J Muscle Res Cell Motil,Journal of Muscle Research and Cell Motility
J Music Ther,Journal of Music Therapy
J Nanoneurosci,Journal of Nanoneuroscience
J Nanosci Nanotechnol,Journal of Nanoscience and Nanotechnology
J Natl Black Nurses Assoc,Journal of National Black Nurses Association
J Nat Prod,Journal of Natural Products
J Nat Toxins,Journal of Natural Toxins
J Negat Results Biomed,Journal of Negative Results in Biomedicine
J Nephrol Nurs,Journal of Nephrology Nursing
J Nerv Ment Dis,Journal of Nervous and Mental Disease
J Neural Eng,Journal of Neural Engineering
J Neural Transm,Journal of Neural Transmission
J Neural Transm Gen Sect,Journal of Neural Transmission. General Section
J Neural Transm Park Dis Dement Sect,Journal of Neural Transmission. Parkinsons Disease and Dementia Section
J Neural Transm Suppl,Journal of Neural Transmission. Supplementum
J Neural Transplant Plast,Journal of Neural Transplantation and Plasticity
J Neural Transplant,Journal of Neural Transplantation
J Neurobiol,Journal of Neurobiology
J Neurochem,Journal of Neurochemistry
J Neurocytol,Journal of Neurocytology
J Neurodev Disord,Journal of Neurodevelopmental Disorders
J Neuroendocrinol,Journal of Neuroendocrinology
J Neurogenet,Journal of Neurogenetics
J Neuroimaging,Journal of Neuroimaging
J Neuroimmune Pharmacol,Journal of Neuroimmune Pharmacology
J Neuroimmunol,Journal of Neuroimmunology
J Neuroimmunol Suppl,Journal of Neuroimmunology. Supplement
J Neuroinflammation,Journal of Neuroinflammation
J Neurol Phys Ther,Journal of Neurologic Physical Therapy
J Neurol,Journal of Neurology
J Neurol Neurosurg Psychiatry,"Journal of Neurology, Neurosurgery and Psychiatry"
J Neurooncol,Journal of Neuro-Oncology
J Neuroophthalmol,Journal of Neuro-Ophthalmology
J Neuropathol Exp Neurol,Journal of Neuropathology and Experimental Neurology
J Neurophysiol,Journal of Neurophysiology
J Neuropsychiatry Clin Neurosci,Journal of Neuropsychiatry and Clinical Neurosciences
J Neuroradiol,Journal of Neuroradiology
J Neurosci Methods,Journal of Neuroscience Methods
J Neurosci Nurs,Journal of Neuroscience Nursing
J Neurosci Res,Journal of Neuroscience Research
J Neurosci,Journal of Neuroscience
J Neurosurg,Journal of Neurosurgery
J Neurosurg Pediatr,Journal of Neurosurgery. Pediatrics
J Neurosurg Spine,Journal of Neurosurgery. Spine
J Neurosurg Anesthesiol,Journal of Neurosurgical Anesthesiology
J Neurosurg Nurs,Journal of Neurosurgical Nursing
J Neurosurg Sci,Journal of Neurosurgical Sciences
J Neurotrauma,Journal of Neurotrauma
J Neurovirol,Journal of Neurovirology
J Neurovisc Relat,Journal of Neuro-Visceral Relations
J New Drugs,Journal of New Drugs
J N Z Soc Periodontol,Journal of New Zealand Society of Periodontology
J Nihon Univ Sch Dent,Journal of Nihon University School of Dentistry
J Nippon Med Sch,Journal of Nippon Medical School
J Nucl Biol Med,Journal of Nuclear Biology and Medicine
J Nucl Cardiol,Journal of Nuclear Cardiology
J Nucl Med Allied Sci,Journal of Nuclear Medicine and Allied Sciences
J Nucl Med Technol,Journal of Nuclear Medicine Technology
J Nucl Med,Journal of Nuclear Medicine
J Nurse Midwifery,Journal of Nurse-Midwifery
J Nurs Adm,Journal of Nursing Administration
J Nurs Care Qual,Journal of Nursing Care Quality
J Nurs Care,Journal of Nursing Care
J Nurs Educ,Journal of Nursing Education
J Nurs Ethics,Journal of Nursing Ethics
J Nurs Hist,Journal of Nursing History
J Nurs Manag,Journal of Nursing Management
J Nurs Meas,Journal of Nursing Measurement
J Nurs Qual Assur,Journal of Nursing Quality Assurance
J Nurs Res,Journal of Nursing Research
J Nurs Scholarsh,Journal of Nursing Scholarship
J Nurs Staff Dev,Journal of Nursing Staff Development
J Nutr Educ Behav,Journal of Nutrition Education and Behavior
J Nutr Elder,Journal of Nutrition for the Elderly
J Nutr,Journal of Nutrition
J Nutr Health Aging,"Journal of Nutrition, Health and Aging"
J Nutr Biochem,Journal of Nutritional Biochemistry
J Nutr Sci Vitaminol Tokyo,Journal of Nutritional Science and Vitaminology
J Obstet Gynecol Neonatal Nurs,"Journal of Obstetric, Gynecologic, and Neonatal Nursing"
J Obstet Gynaecol Can,Journal of Obstetrics and Gynaecology Canada
J Obstet Gynaecol India,Journal of Obstetrics and Gynaecology of India
J Obstet Gynaecol Br Commonw,Journal of Obstetrics and Gynaecology of the British Commonwealth
J Obstet Gynaecol Res,Journal of Obstetrics and Gynaecology Research
J Obstet Gynaecol,Journal of Obstetrics and Gynaecology
J Occup Environ Hyg,Journal of Occupational and Environmental Hygiene
J Occup Environ Med,Journal of Occupational and Environmental Medicine
J Occup Health Psychol,Journal of Occupational Health Psychology
J Occup Med Toxicol,Journal of Occupational Medicine and Toxicology
J Occup Med,Journal of Occupational Medicine
J Occup Rehabil,Journal of Occupational Rehabilitation
J Ocul Biol Dis Infor,"Journal of Ocular Biology, Diseases, and Informatics"
J Ocul Pharmacol Ther,Journal of Ocular Pharmacology and Therapeutics
J Ocul Pharmacol,Journal of Ocular Pharmacology
J Oncol Manag,Journal of Oncology Management
J Oncol Pharm Pract,Journal of Oncology Pharmacy Practice
J Ophthalmic Nurs Technol,Journal of Ophthalmic Nursing and Technology
J Oral Maxillofac Surg,Journal of Oral and Maxillofacial Surgery
J Oral Implant Transplant Surg,Journal of Oral Implant and Transplant Surgery
J Oral Implantol,Journal of Oral Implantology
J Oral Med,Journal of Oral Medicine
J Oral Pathol Med,Journal of Oral Pathology and Medicine
J Oral Pathol,Journal of Oral Pathology
J Oral Rehabil,Journal of Oral Rehabilitation
J Oral Sci,Journal of Oral Science
J Oral Surg,Journal of Oral Surgery
J Oral Ther Pharmacol,Journal of Oral Therapeutics and Pharmacology
J Org Chem,Journal of Organic Chemistry
J Orofac Orthop,Journal of Orofacial Orthopedics
J Orofac Pain,Journal of Orofacial Pain
J Orthod,Journal of Orthodontics
J Orthop Sports Phys Ther,Journal of Orthopaedic and Sports Physical Therapy
J Orthop Res,Journal of Orthopaedic Research
J Orthop Sci,Journal of Orthopaedic Science
J Orthop Surg,Journal of Orthopaedic Surgery and Research
J Orthop Trauma,Journal of Orthopaedic Trauma
J Osaka Dent Univ,Journal of Osaka Dental University
J Otolaryngol,Journal of Otolaryngology
